Option settings:
Data file	dementia05.txt
Starting model	bottom
Search direction	up
Ref model	bottom
Models to consider	full
Search width	3
Search levels	7
Search sort by	bic
Search preference	descending
Report sort by	information
Report preference	descending

Sample Size	424.0

ID	MODEL	Level	H	dDF	dLR	Alpha	Inf	%dH(DV)	dAIC	dBIC	Inc.Alpha	Prog.	%C(Data)	%cover
188	IV:AgZ:JZ:NZ	3	9.6926	8	-1.0	0.0104	0.0340546	3.4055	1.0	1.0	0.0	0	0.0	0.0
187	IV:AZ:GZ:KZ:PZ	4	9.6924	10	-1.0	0.0283	0.03423987	3.424	1.0	1.0	0.0	0	0.0	0.0
186	IV:EHZ:GZ:JZ:PZ	6	9.6924	16	-1.0	0.2141	0.03428223	3.4282	1.0	1.0	0.0	0	0.0	0.0
185	IV:EZ:GZ:JPZ	5	9.6922	19	-1.0	0.3796	0.03449192	3.4492	1.0	1.0	0.0	0	0.0	0.0
184	IV:DZ:EZ:GZ:JZ:PZ	5	9.6919	12	-1.0	0.0595	0.03478085	3.4781	1.0	1.0	0.0	0	0.0	0.0
183	IV:EZ:GZ:JZ:NZ:PZ	5	9.6919	13	-1.0	0.0846	0.03481251	3.4813	1.0	1.0	0.0	0	0.0	0.0
182	IV:AZ:EZ:GZ:HZ:JZ:PZ	6	9.6916	14	-1.0	0.1121	0.03508584	3.5086	1.0	1.0	0.0	0	0.0	0.0
181	IV:CZ:NZ	2	9.6914	5	-1.0	0.0009	0.03527009	3.527	1.0	1.0	0.0	0	0.0	0.0
180	IV:BZ:EZ:GZ:HZ:JZ:PZ	6	9.6913	15	-1.0	0.1437	0.03539398	3.5394	1.0	1.0	0.0	0	0.0	0.0
179	IV:EGZ:JZ:PZ	5	9.6911	14	-1.0	0.1042	0.03558237	3.5582	1.0	1.0	0.0	0	0.0	0.0
178	IV:EZ:FZ:GZ:HZ:JZ:PZ	6	9.6909	14	-1.0	0.102	0.03573036	3.573	1.0	1.0	0.0	0	0.0	0.0
