iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"Cl=1|El=5|Fd=1|Rd=1|Ro=1|Tt=3",0,89.43,33,100.0,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"El=1|Ro=6|Tp=7",1,90.42,33,93.9,0.0000,"IV:ElZ:TpZ:RoZ"
"Cl=3|El=1|Rd=1|Ro=6|Tt=11",1,87.07,33,90.9,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"Cl=1|El=5|Fd=6|Rd=1|Ro=6|Tt=11",0,91.88,32,93.8,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"El=5|Fd=2|Ro=6|Tt=11",0,93.78,32,93.8,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"Cl=1|Dc=7|El=2|Fd=3|Rd=1|Ro=4|Tt=15",1,88.86,31,93.5,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=1|Rd=1|Ro=1|Tt=3",0,88.94,31,100.0,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=2|Fd=3|Rd=1|Ro=4|Tt=15",1,88.87,31,93.5,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"El=1|Rd=1|Ro=4|Tt=15",1,94.33,31,96.8,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"Cl=3|Dc=7|El=5|Fd=1|Ro=1|Tt=3",0,85.43,30,100.0,0.0010,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=3|El=5|Fd=1|Ro=1|Tt=3",0,85.86,30,100.0,0.0010,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Dc=7|El=5|Fd=2|Ro=6|Tt=11",0,93.63,30,93.3,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=6|Ro=6|Tt=11",0,91.56,29,93.1,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"El=2|Fd=6|Ro=1|Tt=3",1,89.48,29,96.6,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"El=2|Ro=3|Tt=9",1,89.43,29,96.6,0.0000,"IV:ElZ:RoZ:TtZ"
"Cl=3|Dc=7|El=5|Fd=1|Rd=1|Ro=1|Tt=3",0,85.30,28,100.0,0.0020,"IV:ElZ:FdZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Fd=2|Rd=1|Ro=6|Sd=2|Tt=15",0,89.70,28,92.9,0.0000,"IV:ElZ:FdZ:RdZ:SdZ:ClZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=4|Ro=4|Tt=11",0,87.29,28,92.9,0.0010,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=3|El=2|Ro=1",1,88.32,28,96.4,0.0000,"IV:ElZ:ClZ:RoZ"
"Cl=1|El=5|Fd=4|Ro=4|Tt=11",0,87.68,28,92.9,0.0010,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Cl=3|El=5|Fd=1|Rd=1|Ro=1|Tt=3",0,85.72,28,100.0,0.0020,"IV:ElZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"Dc=7|El=2|Fd=6|Ro=1|Tt=3",1,89.83,28,96.4,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=4|Ro=4|Tt=11",0,87.22,28,92.9,0.0010,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=5|Fd=4|Ro=4|Tt=11",0,87.51,28,92.9,0.0010,"IV:ElZ:FdZ:RoZ:TtZ"
"Cl=2|Dc=7|El=5|Fd=1|Ro=6|Sl=4|Tt=11",0,97.92,27,100.0,0.0000,"IV:ElZ:SlZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=2|El=5|Fd=1|Ro=6|Sl=4|Tt=11",0,97.96,27,100.0,0.0000,"IV:ElZ:SlZ:FdZ:ClZ:RoZ:TtZ"
"Dc=7|El=5|Fd=2|Rd=1|Ro=6|Tt=11",0,93.55,27,92.6,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"El=1|Fd=4|Ro=6|Tt=15",1,93.38,27,96.3,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"Dc=7|El=2|Ro=3|Tt=9",1,89.33,27,96.3,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"El=2|Rd=2|Ro=6|Tt=15",1,85.35,27,92.6,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"Cl=1|Dc=4|El=5|Rd=1|Ro=1|Tt=3",0,100.00,26,100.0,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=1|Ro=6|Tt=11",0,95.50,26,96.2,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Fd=1|Ro=6|Tt=11",0,95.64,26,96.2,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=6|Rd=1|Ro=6|Tt=11",0,91.49,25,92.0,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=1|Ro=4|Sl=4|Tt=15",0,88.68,25,92.0,0.0010,"IV:ElZ:SlZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Fd=1|Rd=1|Ro=4|Sl=4|Tt=15",0,88.81,25,92.0,0.0010,"IV:ElZ:SlZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"Cl=2|El=5|Fd=1|Rd=1|Ro=6|Sl=4|Tt=11",0,97.95,25,100.0,0.0000,"IV:ElZ:SlZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"Cl=1|El=5|Fd=1|Ro=4|Sl=4|Tt=15",0,88.83,25,92.0,0.0010,"IV:ElZ:SlZ:FdZ:ClZ:RoZ:TtZ"
"Cl=4|El=1|Tt=15",1,91.73,25,100.0,0.0000,"IV:ElZ:ClZ:TtZ"
"Cl=4|El=1|Ro=6",1,88.23,25,96.0,0.0000,"IV:ElZ:ClZ:RoZ"
"Cl=1|Dc=7|El=5|Ro=2|Tt=4",0,98.11,24,100.0,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=2|Fd=6|Ro=1|Tt=3",1,88.95,24,95.8,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Ro=2",0,97.87,24,100.0,0.0000,"IV:ElZ:ClZ:RoZ"
"Cl=1|El=2|Fd=6|Ro=1|Tt=3",1,88.49,24,95.8,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Dc=7|El=1|Fd=6|Ro=6|Tt=15",1,92.65,24,95.8,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=5|Ro=6|Tt=7",0,85.38,24,100.0,0.0040,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=1|Fd=5|Ro=6|Tt=15",1,91.95,24,100.0,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"El=1|Fd=6|Ro=6|Tt=15",1,92.31,24,95.8,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"El=5|Fd=5|Ro=6|Tt=7",0,85.38,24,100.0,0.0040,"IV:ElZ:FdZ:RoZ:TtZ"
"El=4|Ro=6|Tp=9",0,85.38,24,91.7,0.0040,"IV:ElZ:TpZ:RoZ"
"Dc=7|El=5|Ro=2|Tt=4",0,98.04,24,100.0,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"El=5|Ro=2|Tt=4",0,98.09,24,100.0,0.0000,"IV:ElZ:RoZ:TtZ"
"El=4|Ro=6|Tp=9|Tt=11",0,88.91,23,91.3,0.0020,"IV:ElZ:TpZ:RoZ:TtZ"
"El=4|Tp=9|Tt=11",0,88.81,23,91.3,0.0020,"IV:ElZ:TpZ:TtZ"
"Dc=7|El=2|Fd=6|Rd=1|Ro=1|Tt=3",1,89.99,23,95.7,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"El=5|Rd=2|Ro=6|Tt=11",0,93.62,23,91.3,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"El=1|Fd=4|Ro=6|Tp=15|Tt=15",1,92.10,22,100.0,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"El=1|Fd=6|Ro=6|Tp=15|Tt=15",1,91.35,22,95.5,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Rd=1|Ro=2|Tt=4",0,98.12,22,100.0,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"El=1|Tp=10|Tt=15",1,95.31,22,95.5,0.0000,"IV:ElZ:TpZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=1|Ro=6|Sd=3|Tt=15",0,91.34,22,95.5,0.0010,"IV:ElZ:FdZ:SdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Fd=3|Ro=6|Sl=3|Tt=15",0,85.39,22,95.5,0.0060,"IV:ElZ:SlZ:FdZ:ClZ:RoZ:TtZ"
"Cl=1|El=5|Fd=1|Rd=1|Ro=6|Sd=3|Tt=15",0,91.37,22,95.5,0.0010,"IV:ElZ:FdZ:RdZ:SdZ:ClZ:RoZ:TtZ"
"Cl=1|Dc=7|El=1|Fd=6|Ro=6|Tt=15",1,91.85,22,95.5,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=1|Fd=6|Ro=6|Tt=15",1,91.38,22,95.5,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Dc=7|El=1|Fd=5|Ro=6|Tt=15",1,92.13,22,100.0,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=3|Ro=6|Tt=7",0,85.18,22,90.9,0.0060,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=5|Fd=3|Ro=6|Tt=7",0,85.34,22,90.9,0.0060,"IV:ElZ:FdZ:RoZ:TtZ"
"Cl=1|El=5|Rd=1|Ro=2|Tt=4",0,98.17,22,100.0,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"El=5|Rd=1|Ro=2|Tt=4",0,98.09,22,100.0,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"El=2|Fd=6|Ro=1|Tp=15|Tt=3",1,87.72,21,95.2,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=1|Dc=7|El=2|Ro=3|Tt=9",1,88.57,21,95.2,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"El=2|Ro=3|Tp=15|Tt=9",1,88.64,21,95.2,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=2|Tp=15|Tt=9",1,87.77,21,95.2,0.0000,"IV:ElZ:TpZ:TtZ"
"Dc=7|El=5|Fd=3|Rd=1|Ro=6|Tt=7",0,85.12,21,90.5,0.0080,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=5|Rd=1|Ro=6|Tt=7",0,85.35,21,100.0,0.0070,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=3|Ro=6|Tt=7",0,85.07,21,90.5,0.0080,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=5|Fd=5|Ro=6|Tt=7",0,85.37,21,100.0,0.0070,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=2|Tt=9",1,87.68,21,95.2,0.0000,"IV:ElZ:ClZ:TtZ"
"Cl=4|El=2|Tt=15",1,85.51,21,95.2,0.0000,"IV:ElZ:ClZ:TtZ"
"Cl=1|El=5|Fd=3|Ro=6|Tt=7",0,85.24,21,90.5,0.0080,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
