elev_bin, 6,1,Elev
LARGE_FIRE, 2,2,Z
:no-frequency
:data
400503279	2019	900.00	E	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400059226	2016	0.90	B	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	52	82	71	5	Columbia_Plateau	B	Spring	mid	0
300207089	2015	1182.00	F	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Fall	midhigh	1
400026538	2017	200.00	D	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	5	Columbia_Plateau	B	Summer	low	1
300243574	2015	0.10	A	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	5	Columbia_Plateau	B	Spring	midlow	0
400015989	2017	17357.00	G	52	52	52	52	52	52	52	52	52	52	52	52	52	71	52	71	71	52	71	71	52	31	North_Central_California_Footh	B	Fall	midlow	1
400312275	2018	518.00	E	52	71	71	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	mid	1
400376346	2018	76.27	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	31	North_Central_California_Footh	B	Summer	midlow	1
400541101	2019	13.00	C	71	71	52	71	71	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	midlow	1
400313546	2018	20.50	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	midlow	1
400228341	2017	1000.00	F	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	5	Columbia_Plateau	B	Summer	midlow	1
400512637	2019	76.00	C	23	52	52	23	52	52	23	52	52	23	52	52	23	52	52	23	52	52	23	52	52	5	Columbia_Plateau	B	Summer	low	1
300333550	2015	76067.00	G	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Fall	mid	1
400630460	2020	143.30	D	71	22	22	71	22	22	71	22	22	71	22	22	71	22	22	71	82	82	71	82	82	5	Columbia_Plateau	B	Summer	midlow	1
400513836	2020	1464.00	F	11	11	82	11	11	71	11	11	71	11	11	71	11	11	71	11	11	71	11	11	71	5	Columbia_Plateau	B	Fall	low	1
400029683	2016	2771.30	F	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Fall	midlow	1
400094350	2016	167.00	D	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Fall	mid	1
400313537	2018	1124.90	F	71	71	71	52	52	52	52	52	52	52	52	52	52	52	52	52	52	71	52	52	71	5	Columbia_Plateau	B	Summer	mid	1
300217388	2015	270.00	D	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400153295	2017	20.25	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	midlow	1
400346156	2018	0.10	A	22	81	81	22	81	81	22	81	81	22	81	81	22	81	81	22	81	81	22	81	81	5	Columbia_Plateau	B	Summer	low	0
300307465	2015	18.00	C	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	31	North_Central_California_Footh	B	Summer	low	1
400525338	2019	18.00	C	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	31	North_Central_California_Footh	B	Fall	low	1
300217410	2015	50.00	C	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	5	Columbia_Plateau	B	Summer	mid	1
300306774	2015	170.00	D	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	71	71	71	31	North_Central_California_Footh	B	Summer	low	1
400030007	2017	4.00	B	82	82	82	82	82	82	52	95	95	52	95	95	52	95	95	52	95	95	82	82	95	5	Columbia_Plateau	B	Fall	low	0
300306258	2015	1.00	B	22	11	81	22	81	81	22	11	81	22	11	81	22	11	81	22	11	81	22	11	81	31	North_Central_California_Footh	B	Summer	low	0
400026412	2016	6300.00	G	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	mid	1
400631083	2020	400.00	E	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	5	Columbia_Plateau	B	Summer	midlow	1
400312261	2018	78425.00	G	82	82	71	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	midlow	1
