iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"Cv=2|Hb=1|Lc=1|Tc=1",1,98.88,14,92.9,0.0000,"IV:CvZ:HbZ:LcZ:TcZ"
"El=1|Hb=2|Lc=1|Sl=2|Tc=2|Tw=1",1,91.74,13,92.3,0.0020,"IV:ElZ:HbZ:LcZ:SlZ:TwZ:TcZ"
"Cv=1|El=1|Hb=1|Lc=1|Sl=1|Tc=2",1,99.08,13,100.0,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|El=1|Hb=2|Lc=1|Sl=2|Tc=2",1,92.12,13,100.0,0.0020,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Gl=1|Hb=1|Lc=1|Sl=2|Tc=1",1,99.01,13,92.3,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"El=2|Gl=2|Hb=3|Lc=3|Sl=2|Tc=3",0,97.53,13,100.0,0.0010,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"El=1|Hb=1|Lc=1|Sl=1|Tc=2|Tw=3",1,98.91,12,100.0,0.0000,"IV:ElTwZ:HbZ:LcZ:SlZ:TcZ"
"El=2|Hb=2|Lc=2|Sl=2|Tc=3|Tw=1",0,90.85,12,91.7,0.0060,"IV:ElZ:HbZ:LcZ:SlZ:TwZ:TcZ"
"Cv=2|El=2|Hb=2|Lc=2|Sl=2|Tc=3",0,93.76,12,91.7,0.0030,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Hb=3|Lc=1|Sl=1|Tc=2",1,90.87,12,100.0,0.0030,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=2|Lc=1|Tc=1",1,95.52,12,100.0,0.0010,"IV:CvZ:HbZ:LcZ:TcZ"
"Hb=3|Lc=3|Sl=2|Tc=3|Tw=2",0,96.86,11,90.9,0.0020,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"Cv=1|El=2|Hb=3|Lc=2|Sl=1|Tc=3",0,86.54,11,90.9,0.0190,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|El=1|Hb=2|Lc=1|Sl=2|Tc=1",1,94.99,11,100.0,0.0020,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Hb=3|Lc=1|Sl=2|Tc=2|Tw=1",1,87.06,11,100.0,0.0110,"IV:ElZ:HbZ:LcZ:SlZ:TwZ:TcZ"
"El=1|Gl=1|Hb=1|Lc=1|Sl=1|Tc=2|Tw=2",1,99.06,11,100.0,0.0010,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"El=1|Gl=1|Hb=2|Lc=1|Sl=2|Tc=2|Tw=1",1,92.22,11,90.9,0.0040,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"El=2|Gl=2|Hb=2|Lc=2|Sl=2|Tc=3|Tw=1",0,92.34,11,90.9,0.0060,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"Cv=2|Hb=2|Lc=1|Sl=2|Tc=1",1,95.73,11,100.0,0.0020,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Gl=1|Hb=1|Lc=1|Sl=1|Tc=2|Tw=3",1,98.37,10,100.0,0.0020,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"Cv=1|Hb=2|Lc=1|Sl=1|Tc=2",1,95.00,10,100.0,0.0030,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|Hb=3|Lc=1|Sl=1|Tc=2",1,90.64,10,90.0,0.0080,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Gl=2|Hb=1|Lc=1|Sl=2|Tc=2",1,95.73,10,100.0,0.0030,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
"El=1|Gl=1|Hb=2|Lc=1|Sl=1|Tc=2",1,95.21,10,100.0,0.0030,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TcZ"
