name,level,h,information,aic,bic,daic,dbic,alpha,lr,df,pct_correct
IV:MNZ,2,9.702285784395526,0.0243659222958175,-7.696608390034241,-52.24367639758577,7.696608390034241,52.24367639758577,0.21593036338620153,14.30339160996576,725594123.0,53.77358490566038
IV:MPZ,2,9.71637114036962,0.010262225392638954,-15.975823004005653,-60.522891011557185,15.975823004005653,60.522891011557185,0.8722157932647365,6.024176995994347,725594123.0,55.18867924528301
IV:ApBPZ,3,9.603751021430964,0.12302899008300397,10.221022589317869,-115.32071452287283,-10.221022589317869,115.32071452287283,0.0,72.22102258931787,725594143.0,68.16037735849058
IV:SxBPZ,3,9.691590213974749,0.0350754197127577,-41.40987178960165,-166.95160890179235,41.40987178960165,166.95160890179235,0.9222366181157495,20.590128210398348,725594143.0,56.60377358490567
IV:EdBPZ,3,9.656027607273629,0.0706843334613358,-52.50656954773107,-242.84404194363307,52.50656954773107,242.84404194363307,0.6996328575805653,41.49343045226893,725594159.0,58.01886792452834
IV:AgBPZ,3,9.632702682974319,0.09403962978555241,-38.7964400711462,-229.13391246704822,38.7964400711462,229.13391246704822,0.19212135584247336,55.2035599288538,725594159.0,61.08490566037739
IV:ABPZ,3,9.662183603333528,0.06452032150979822,-56.124995140694786,-246.4624675365968,56.124995140694786,246.4624675365968,0.8266299743782761,37.875004859305214,725594159.0,59.198113207547195
IV:BCPZ,3,9.648134110412549,0.07858810866159413,-47.866860428005445,-238.20433282390746,47.866860428005445,238.20433282390746,0.5084681557837007,46.133139571994555,725594159.0,62.50000000000002
IV:BDPZ,3,9.668556976827595,0.058138649070961494,-59.87119275681685,-250.20866515271888,59.87119275681685,250.20866515271888,0.9195029945969456,34.12880724318315,725594159.0,58.254716981132084
IV:BEPZ,3,9.666933062029436,0.05976467841320528,-58.9166738115028,-249.2541462074048,58.9166738115028,249.2541462074048,0.899946211926751,35.0833261884972,725594159.0,58.01886792452833
IV:BFPZ,3,9.646702830497802,0.08002125228525074,-47.025570111406,-237.36304250730802,47.025570111406,237.36304250730802,0.4736096878308471,46.974429888594,725594159.0,61.08490566037737
