Level,Model,Information,Alpha,DF,LR,AIC,BIC,%C(Data)
4,IV:BLNPZ,0.14062848061782351,1.0,725594303.0,82.55235346196947,-299.44764653803054,-1072.9467364873344,61.08490566037742
4,IV:BLNPZ,0.14062848061782351,1.0,725594303.0,82.55235346196947,-299.44764653803054,-1072.9467364873344,61.08490566037742
4,IV:BLNPZ,0.14062848061782351,1.0,725594303.0,82.55235346196947,-299.44764653803054,-1072.9467364873344,61.08490566037742
4,IV:BFNPZ,0.14428207752489144,1.0,725594303.0,84.69710409821865,-297.30289590178137,-1070.8019858510852,64.1509433962265
4,IV:BFNPZ,0.14428207752489144,1.0,725594303.0,84.69710409821865,-297.30289590178137,-1070.8019858510852,64.1509433962265
4,IV:BFNPZ,0.14428207752489144,1.0,725594303.0,84.69710409821865,-297.30289590178137,-1070.8019858510852,64.1509433962265
4,IV:BCNPZ,0.15003396184425588,1.0,725594303.0,88.07360070344721,-293.9263992965528,-1067.4254892458566,65.33018867924532
4,IV:BCNPZ,0.15003396184425588,1.0,725594303.0,88.07360070344721,-293.9263992965528,-1067.4254892458566,65.33018867924532
4,IV:BCNPZ,0.15003396184425588,1.0,725594303.0,88.07360070344721,-293.9263992965528,-1067.4254892458566,65.33018867924532
4,IV:AgBNPZ,0.15734095716155067,1.0,725594303.0,92.36298545345086,-289.63701454654915,-1063.136104495853,64.15094339622647
4,IV:AgBNPZ,0.15734095716155067,1.0,725594303.0,92.36298545345086,-289.63701454654915,-1063.136104495853,64.15094339622647
4,IV:AgBNPZ,0.15734095716155067,1.0,725594303.0,92.36298545345086,-289.63701454654915,-1063.136104495853,64.15094339622647
4,IV:SxBNPZ,0.08877298807218235,1.0,725594239.0,52.111912587080745,-201.88808741291925,-716.2042362273779,59.433962264151
4,IV:SxBNPZ,0.08877298807218235,1.0,725594239.0,52.111912587080745,-201.88808741291925,-716.2042362273779,59.433962264151
4,IV:SxBNPZ,0.08877298807218235,1.0,725594239.0,52.111912587080745,-201.88808741291925,-716.2042362273779,59.433962264151
4,IV:ApBNPZ,0.18042405000849063,0.9132848976399048,725594239.0,105.91332483935851,-148.0866751606415,-662.4028239751001,70.04716981132081
4,IV:ApBNPZ,0.18042405000849063,0.9132848976399048,725594239.0,105.91332483935851,-148.0866751606415,-662.4028239751001,70.04716981132081
4,IV:ApBNPZ,0.18042405000849063,0.9132848976399048,725594239.0,105.91332483935851,-148.0866751606415,-662.4028239751001,70.04716981132081
3,IV:BNPZ,0.06929649092010172,0.9870313186075276,725594175.0,40.67873297768786,-85.32126702231214,-340.4544747019255,57.31132075471701
3,IV:BNPZ,0.06929649092010172,0.9870313186075276,725594175.0,40.67873297768786,-85.32126702231214,-340.4544747019255,57.31132075471701
3,IV:BNPZ,0.06929649092010172,0.9870313186075276,725594175.0,40.67873297768786,-85.32126702231214,-340.4544747019255,57.31132075471701
3,IV:BJPZ,0.06972250126152847,0.9859895180196905,725594175.0,40.92881145488829,-85.07118854511171,-340.2043962247251,58.72641509433964
3,IV:BJPZ,0.06972250126152847,0.9859895180196905,725594175.0,40.92881145488829,-85.07118854511171,-340.2043962247251,58.72641509433964
3,IV:JNPZ,0.07115974614524335,0.9819756129289845,725594175.0,41.77250931132948,-84.22749068867051,-339.36069836828386,60.141509433962284
3,IV:BKPZ,0.08233832829934833,0.9135923079744424,725594175.0,48.334610111502506,-77.66538988849749,-332.79859756811084,60.37735849056607
3,IV:BKPZ,0.08233832829934833,0.9135923079744424,725594175.0,48.334610111502506,-77.66538988849749,-332.79859756811084,60.37735849056607
3,IV:KNPZ,0.08926721003116382,0.8272411568012639,725594175.0,52.40203295009158,-73.59796704990842,-328.73117472952174,61.084905660377366
3,IV:HNPZ,0.044846660063688544,0.9936708945876922,725594159.0,26.326084992894277,-67.67391500710572,-258.01138740300775,56.83962264150946
3,IV:ENPZ,0.04587355386959835,0.9918100879602846,725594159.0,26.928896742412878,-67.07110325758713,-257.40857565348915,58.01886792452833
3,IV:FNPZ,0.049543711383716126,0.9813236379434,725594159.0,29.083368859550678,-64.91663114044933,-255.25410353635132,57.783018867924554
3,IV:ANPZ,0.05208347074339111,0.9694222408227383,725594159.0,30.574269646127632,-63.42573035387237,-253.7632027497744,58.254716981132084
3,IV:DNPZ,0.05442596927322506,0.9540885408892811,725594159.0,31.949373506806666,-62.050626493193334,-252.38809888909535,58.254716981132106
3,IV:LNPZ,0.05658466921803973,0.9356267771182413,725594159.0,33.216583108160265,-60.783416891839735,-251.12088928774176,58.01886792452833
3,IV:MNPZ,0.05764025685060253,0.9249427411927328,725594159.0,33.8362388348706,-60.1637611651294,-250.50123356103143,57.5471698113208
3,IV:BDPZ,0.058138649070961494,0.9195029945969456,725594159.0,34.12880724318315,-59.87119275681685,-250.20866515271888,58.254716981132084
3,IV:BDPZ,0.058138649070961494,0.9195029945969456,725594159.0,34.12880724318315,-59.87119275681685,-250.20866515271888,58.254716981132084
3,IV:EdNPZ,0.059579445674762255,0.90231545463446,725594159.0,34.97459004607785,-59.02540995392215,-249.36288234982416,58.49056603773588
3,IV:BEPZ,0.05976467841320528,0.899946211926751,725594159.0,35.0833261884972,-58.9166738115028,-249.2541462074048,58.01886792452833
3,IV:BEPZ,0.05976467841320528,0.899946211926751,725594159.0,35.0833261884972,-58.9166738115028,-249.2541462074048,58.01886792452833
3,IV:BHPZ,0.060216091750571,0.8940188577519672,725594159.0,35.348316844870254,-58.651683155129746,-248.98915555103176,57.78301886792456
3,IV:BHPZ,0.060216091750571,0.8940188577519672,725594159.0,35.348316844870254,-58.651683155129746,-248.98915555103176,57.78301886792456
3,IV:BMPZ,0.0633880594900955,0.8462352426202435,725594159.0,37.21033939430541,-56.78966060569459,-247.1271330015966,57.78301886792454
3,IV:BMPZ,0.0633880594900955,0.8462352426202435,725594159.0,37.21033939430541,-56.78966060569459,-247.1271330015966,57.78301886792454
3,IV:GNPZ,0.06342791914797773,0.8455672960552184,725594159.0,37.23373798719292,-56.76626201280708,-247.1037344087091,58.254716981132106
3,IV:ABPZ,0.06452032150979822,0.8266299743782761,725594159.0,37.875004859305214,-56.124995140694786,-246.4624675365968,59.198113207547195
3,IV:ABPZ,0.06452032150979822,0.8266299743782761,725594159.0,37.875004859305214,-56.124995140694786,-246.4624675365968,59.198113207547195
3,IV:BGPZ,0.06528728916683775,0.812622678137871,725594159.0,38.32523360983757,-55.67476639016243,-246.01223878606444,57.78301886792454
3,IV:BGPZ,0.06528728916683775,0.812622678137871,725594159.0,38.32523360983757,-55.67476639016243,-246.01223878606444,57.78301886792454
3,IV:CNPZ,0.06626421630061873,0.7939660847659878,725594159.0,38.898713702206955,-55.101286297793045,-245.43875869369506,59.43396226415098
3,IV:BLPZ,0.06849945382837595,0.7481122273921952,725594159.0,40.21085273444426,-53.78914726555574,-244.12661966145777,58.96226415094342
3,IV:BLPZ,0.06849945382837595,0.7481122273921952,725594159.0,40.21085273444426,-53.78914726555574,-244.12661966145777,58.96226415094342
3,IV:EdBPZ,0.0706843334613358,0.6996328575805653,725594159.0,41.49343045226893,-52.50656954773107,-242.84404194363307,58.01886792452834
3,IV:EdBPZ,0.0706843334613358,0.6996328575805653,725594159.0,41.49343045226893,-52.50656954773107,-242.84404194363307,58.01886792452834
3,IV:AgNPZ,0.07626028425928154,0.5657335292824974,725594159.0,44.76664978263711,-49.23335021736289,-239.5708226132649,60.141509433962284
3,IV:BCPZ,0.07858810866159413,0.5084681557837007,725594159.0,46.133139571994555,-47.866860428005445,-238.20433282390746,62.50000000000002
3,IV:BCPZ,0.07858810866159413,0.5084681557837007,725594159.0,46.133139571994555,-47.866860428005445,-238.20433282390746,62.50000000000002
3,IV:BFPZ,0.08002125228525074,0.4736096878308471,725594159.0,46.974429888594,-47.025570111406,-237.36304250730802,61.08490566037737
3,IV:BFPZ,0.08002125228525074,0.4736096878308471,725594159.0,46.974429888594,-47.025570111406,-237.36304250730802,61.08490566037737
3,IV:AgBPZ,0.09403962978555241,0.19212135584247336,725594159.0,55.2035599288538,-38.7964400711462,-229.13391246704822,61.08490566037739
3,IV:AgBPZ,0.09403962978555241,0.19212135584247336,725594159.0,55.2035599288538,-38.7964400711462,-229.13391246704822,61.08490566037739
3,IV:SxBPZ,0.0350754197127577,0.9222366181157495,725594143.0,20.590128210398348,-41.40987178960165,-166.95160890179235,56.60377358490567
3,IV:SxBPZ,0.0350754197127577,0.9222366181157495,725594143.0,20.590128210398348,-41.40987178960165,-166.95160890179235,56.60377358490567
3,IV:SxNPZ,0.03811180835401346,0.871125897243625,725594143.0,22.37256251715915,-39.62743748284085,-165.16917459503156,57.311320754717
3,IV:ApNPZ,0.11762939488239972,0.0,725594143.0,69.05132830268741,7.051328302687409,-118.4904088095033,67.9245283018868
3,IV:ApBPZ,0.12302899008300397,0.0,725594143.0,72.22102258931787,10.221022589317869,-115.32071452287283,68.16037735849058
3,IV:ApBPZ,0.12302899008300397,0.0,725594143.0,72.22102258931787,10.221022589317869,-115.32071452287283,68.16037735849058
2,IV:BPZ,0.023739412504952293,0.5308823007016876,725594127.0,13.935615058049189,-16.064384941950813,-76.81038677043017,54.009433962264154
2,IV:BPZ,0.023739412504952293,0.5308823007016876,725594127.0,13.935615058049189,-16.064384941950813,-76.81038677043017,54.009433962264154
2,IV:NPZ,0.024622817292302587,0.49168007949325,725594127.0,14.454195248455473,-15.545804751544527,-76.29180658002389,54.716981132075496
2,IV:NPZ,0.024622817292302587,0.49168007949325,725594127.0,14.454195248455473,-15.545804751544527,-76.29180658002389,54.716981132075496
2,IV:JPZ,0.02494062262778247,0.47780631014569575,725594127.0,14.640754743881821,-15.359245256118179,-76.10524708459755,56.36792452830189
2,IV:BNZ,0.03245788804049528,0.2107347817502786,725594127.0,19.053573176473588,-10.946426823526412,-71.69242865200577,55.42452830188683
2,IV:BNZ,0.03245788804049528,0.2107347817502786,725594127.0,19.053573176473588,-10.946426823526412,-71.69242865200577,55.42452830188683
2,IV:BJZ,0.037760262216850374,0.1032404851585963,725594127.0,22.166196346908436,-7.8338036530915645,-68.57980548157093,56.36792452830189
2,IV:KPZ,0.041479859945121086,0.05932365567372566,725594127.0,24.349691077503035,-5.650308922496965,-66.39631075097633,58.25471698113207
2,IV:BKZ,0.046169303467940126,0.027943064531708917,725594127.0,27.10250898135114,-2.8974910186488607,-63.64349284712823,57.78301886792454
